iter	Logloss
0	0.6894799516
1	0.6864009326
2	0.6827632654
3	0.6794719131
4	0.6758734872
5	0.6717316511
6	0.6684031948
7	0.6650569321
8	0.6611813432
9	0.6586599037
10	0.6553509091
11	0.6528317131
12	0.6496585984
13	0.6459721268
14	0.6428517108
15	0.6403584016
16	0.6372296076
17	0.6336691504
18	0.6314523715
19	0.6292234953
20	0.6265342929
21	0.6234992414
22	0.6206482848
23	0.6169016092
24	0.6138601949
25	0.6120179193
26	0.6094520205
27	0.6068145734
28	0.6038016702
29	0.6010410983
30	0.5986648329
31	0.5953716848
32	0.5924770198
33	0.5900999983
34	0.5874588333
35	0.5849957256
36	0.5816229754
37	0.5792003397
38	0.5769308355
39	0.5747954846
40	0.572823735
41	0.5702957229
42	0.5693815984
43	0.5671959311
44	0.5643584459
45	0.5621120435
46	0.5597250636
47	0.5574570865
48	0.5548017835
49	0.5526961676
50	0.5499454635
51	0.5474433207
52	0.5451826879
53	0.5434540195
54	0.5412371028
55	0.5392667308
56	0.5372229489
57	0.5346510809
58	0.5325320915
59	0.5305772839
60	0.5288863118
61	0.5271040054
62	0.524900073
63	0.5228563326
64	0.5209586726
65	0.5190779841
66	0.5161468032
67	0.5140488506
68	0.511873037
69	0.5096987225
70	0.5075911634
71	0.5057297062
72	0.5040817982
73	0.5027456081
74	0.5005826593
75	0.4983008914
76	0.4965506238
77	0.4948928691
78	0.4929914903
79	0.4912269588
80	0.4894590234
81	0.4878758296
82	0.4858082563
83	0.4838690859
84	0.4828054189
85	0.4812917389
86	0.4790052714
87	0.4773230129
88	0.475556367
89	0.4738796691
90	0.4718604702
91	0.469892064
92	0.4681777792
93	0.4663958302
94	0.4648578845
95	0.4630975543
96	0.4617662543
97	0.4606368713
98	0.4591270139
99	0.4576848224
100	0.4562102197
101	0.4544165646
102	0.4531839927
103	0.4521167046
104	0.4505176075
105	0.4485313834
106	0.4469900241
107	0.4454231484
108	0.4439284613
109	0.4423101829
110	0.4411080427
111	0.4398331406
112	0.4386498422
113	0.4378076075
114	0.4363711701
115	0.4353042929
116	0.4340804658
117	0.432782292
118	0.4316415474
119	0.4306931881
120	0.4295625854
121	0.4285179965
122	0.4273079562
123	0.4264619593
124	0.4253584308
125	0.4244159086
