iter	Passed	Remaining
0	0	716
1	1	688
2	2	681
3	2	676
4	3	795
5	4	770
6	5	750
7	5	736
8	6	729
9	7	721
10	7	717
11	8	710
12	9	704
13	9	699
14	10	694
15	11	691
16	11	689
17	12	686
18	13	684
19	13	662
20	14	662
21	14	662
22	15	660
23	16	661
24	16	660
25	17	657
26	18	656
27	18	654
28	19	653
29	20	651
30	20	650
31	21	649
32	22	648
33	22	650
34	23	649
35	24	648
36	24	646
37	25	646
38	26	645
39	26	644
40	27	642
41	28	641
42	28	632
43	29	631
44	29	630
45	30	630
46	31	629
47	31	629
48	32	628
49	33	627
50	33	626
51	34	625
52	35	625
53	35	625
54	36	624
55	36	623
56	37	622
57	38	621
58	38	621
59	39	620
60	40	619
61	40	618
62	41	617
63	42	617
64	42	616
65	43	616
66	44	615
67	44	615
68	45	614
69	46	613
70	46	612
71	47	612
72	48	611
73	48	611
74	49	610
75	50	609
76	50	609
77	51	608
78	52	608
79	52	607
80	53	606
81	54	606
82	54	606
83	55	605
84	56	604
85	56	604
86	57	603
87	58	603
88	58	602
89	59	601
90	60	600
91	60	600
92	61	599
93	62	599
94	62	598
95	63	597
96	64	596
97	64	596
98	65	595
99	66	595
100	66	594
101	67	593
102	68	593
103	68	592
104	69	592
105	70	591
106	70	590
107	71	590
108	72	589
109	72	589
110	73	588
111	74	588
112	74	587
113	75	587
114	76	586
115	76	585
116	77	585
117	78	584
118	78	583
119	79	583
120	80	582
121	80	582
122	81	581
123	82	580
124	82	579
125	83	579
126	84	578
127	84	578
128	85	578
129	86	577
130	86	576
131	87	576
132	88	575
133	88	575
134	89	574
135	90	573
136	90	573
137	91	572
138	92	571
139	92	571
140	93	570
141	94	569
142	94	569
143	95	568
144	96	568
145	97	567
146	97	566
147	98	566
148	99	565
149	99	564
150	100	564
151	100	563
152	101	562
153	102	562
154	102	561
155	103	560
156	104	560
157	104	559
158	105	558
159	106	558
160	107	557
161	107	557
162	108	556
163	109	555
164	109	555
165	110	554
166	111	553
167	111	553
168	112	552
169	113	551
170	113	551
171	114	550
172	115	550
173	115	549
174	116	548
175	117	548
176	117	547
177	118	546
178	119	545
179	119	545
180	120	544
181	121	543
182	121	543
183	122	542
184	123	541
185	123	541
186	124	540
187	125	539
188	125	539
189	126	538
190	127	538
191	127	537
192	128	537
193	129	536
194	129	535
195	130	535
196	131	534
197	131	533
198	132	533
199	133	532
200	133	531
201	134	531
202	135	530
203	135	529
204	136	529
205	137	528
206	137	528
207	138	527
208	139	526
209	139	526
210	140	525
211	141	524
212	141	524
213	142	523
214	143	522
215	143	522
216	144	521
217	145	520
218	145	520
219	146	519
220	147	518
221	147	518
222	148	517
223	149	516
224	149	516
225	150	515
226	151	514
227	151	514
228	152	513
229	153	512
230	153	512
231	154	511
232	155	510
233	155	510
234	156	509
235	157	508
236	157	508
237	158	507
238	159	506
239	159	506
240	160	505
241	161	504
242	161	504
243	162	503
244	163	502
245	163	502
246	164	501
247	165	500
248	165	500
249	166	499
250	167	498
251	167	498
252	168	497
253	169	497
254	169	496
255	170	495
256	171	495
257	171	494
258	172	494
259	173	493
260	174	492
261	174	492
262	175	491
263	176	491
264	176	490
265	177	490
266	178	489
267	179	489
268	179	488
269	180	487
270	181	487
271	181	486
272	182	486
273	183	485
274	183	485
275	184	484
276	185	484
277	186	483
278	186	482
279	187	481
280	187	480
281	188	479
282	189	479
283	189	478
284	190	478
285	191	477
286	192	477
287	192	476
288	193	475
289	194	474
290	194	474
